dataset	min_samples	cluster_method	p	n_jobs	nmi
cassini	3	xi	1		0.3674928015808646
hepta	3	xi	1		0.496936204721244
triangle1	3	xi	1		0.38498228759415093
tae	3	xi	1		0.18130482294511402
twenty	3	xi	1		0.5594748074296988
threenorm	3	xi	1		0.20787123846671005
square2	3	xi	1		0.3701296165482691
flame	3	xi	1		0.23885945284564444
disk-3000n	3	xi	1		0.2426363588464057
d31	3	xi	1		0.536994596745238
aggregation	3	xi	1		0.4145934001636794
zelnik4	3	xi	1		0.4458609975359939
2sp2glob	3	xi	1		0.6308946922995065
glass	3	xi	1		0.3531762115334972
square1	3	xi	1		0.3740449964715498
2d-3c-no123	3	xi	1		0.31789839143866594
disk-4500n	3	xi	1		0.23735915188385548
sizes1	3	xi	1		0.36879872791831686
long3	3	xi	1		0.2232603230788317
cuboids	3	xi	1		0.3606113973782896
donutcurves	3	xi	1		0.8116907345908797
st900	3	xi	1		0.47842266570219527
tetra	3	xi	1		0.36445129785142455
zelnik3	3	xi	2		0.4372943762188458
spherical_4_3	3	xi	2		0.41878245768493305
fourty	3	xi	2		0.6329937139757181
lsun	3	xi	2		0.3631697929405749
diamond9	3	xi	2		0.4674851144884647
ds850	3	xi	2		0.41638444908132133
elly-2d10c13s	3	xi	2		0.3797674886104252
pathbased	3	xi	2		0.36087218357174633
R15	3	xi	2		0.5347259070225462
spherical_6_2	3	xi	2		0.5104322657356839
shapes	3	xi	2		0.4094405780556639
2dnormals	3	xi	2		0.22357402481090957
dpc	3	xi	2		0.3788845613045112
twodiamonds	3	xi	2		0.2897001868257292
ds2c2sc13	3	xi	2		0.5100230606545377
donut3	3	xi	2		0.515208226624031
simplex	3	xi	2		0.32908646020686916
2d-20c-no0	3	xi	2		0.5401773831898968
disk-5000n	3	xi	2		0.211409063482401
DS-577	3	xi	2		0.34202878007333287
zoo	3	xi	2		0.6054060034272024
square3	3	xi	2		0.36968779625385473
sonar	3	xi	2		0.27744508414158975
donut1	3	xi	2		0.5442418374905098
disk-4600n	3	xi	2		0.18108096415006003
sizes5	3	xi	2		0.2783107915080033
thy	3	xi	2		0.24134916596060368
cure-t1-2000n-2D	3	xi	2		0.3931671673012742
blobs	3	xi	2		0.3663951057195087
dense-disk-5000	3	xi	2		0.2361858760410574
heart-statlog	3	xi	2		0.09736025567104785
dense-disk-3000	3	xi	2		0.2430334278662135
ds3c3sc6	3	xi	2		0.3702369947891145
donut2	3	xi	2		0.5301795820999883
dartboard1	3	xi	2		1.0
smile1	3	xi	2		0.5174915531571466
2d-10c	3	xi	2		0.4361809171248382
impossible	3	xi	2		0.541917415064959
aml28	3	xi	2		0.32353137578358315
zelnik2	3	xi	2		0.4243330883167161
banana	3	xi	2		0.24207470021563632
compound	3	xi	2		0.3469342330936027
zelnik6	3	xi	2		0.3881071635200416
sizes3	3	xi	2		0.3302717164256955
spiral	3	xi	2		1.0
sizes2	3	xi	2		0.3257135637477331
iris	3	xi	2		0.33604977933623126
hypercube	3	xi	2		0.39496473531497917
engytime	3	xi	2		0.23068256713023216
circle	3	xi	2		0.25581292436719577
longsquare	3	xi	2		0.45109525663080324
zelnik1	3	xi	2		0.3794700317886813
iono	3	xi	2		0.1117825294431279
square5	3	xi	2		0.324206753235526
curves1	3	xi	2		1.0
3-spiral	3	xi	2		0.29136425201823535
DS-850	3	xi	2		0.41638444908132133
rings	3	xi	2		0.3120443262052796
cure-t2-4k	3	xi	2		0.3975372270533471
2d-4c-no4	3	xi	2		0.3497095686063627
disk-1000n	3	xi	2		0.261824141378315
complex9	3	xi	2		0.4289810945546293
ecoli	3	xi	2		0.30785328629165865
target	3	xi	2		0.34042069849692064
3MC	3	xi	2		0.4255819502884257
xor	3	xi	2		0.33757529083218135
xclara	3	xi	2		0.3223044774886443
cure-t0-2000n-2D	3	xi	2		0.26663706861978154
dartboard2	3	xi	2		1.0
spherical_5_2	3	xi	2		0.49842970839512796
ds577	3	xi	2		0.34202878007333287
elliptical_10_2	3	xi	2		0.5625156487306263
wingnut	3	xi	2		0.27057235007068153
triangle2	3	xi	2		0.37059741071087293
smile2	3	xi	2		0.5192424168361853
disk-4000n	3	xi	2		0.21574992753984773
jain	3	xi	2		0.284632661685682
2d-4c	3	xi	2		0.34751143753342895
long1	3	xi	2		0.2801245371568716
sizes4	3	xi	2		0.2965582999462756
curves2	3	xi	2		1.0
square4	3	xi	2		0.35349567551104966
chainlink	3	xi	2		0.26695615540734585
ds4c2sc8	3	xi	2		0.47068903749408547
spiralsquare	3	xi	2		0.7499181044405273
gaussians1	3	xi	2		0.31164443351073207
smile3	3	xi	2		0.5955772099040616
dpb	3	xi	2		0.35652705156888015
complex8	3	xi	2		0.4349396088355606
haberman	3	xi	2		0.06229292985307976
pmf	3	xi	2		0.34124302763302805
atom	3	xi	2		0.27347426583924184
zelnik5	3	xi	2		0.4038733857088915
long2	3	xi	2		0.26452328119721674
2d-4c-no9	3	xi	2		0.3688954412168258
cassini	3	xi	2		0.36324919540310985
