dataset	silhouette_score	calinski_harabasz_score	davies_bouldin_score	SSE	nSSE	ARI	MIS	v_measure	n_clusters	init	max_iter	n_init	algorithm
a1	0.477214062	7282.165568	0.663348224	38953562798	6492260.466	0.642455671	0.77082352	0.851307538	12	k-means++	300	10	auto
a1	0.468219791	6925.089539	0.651008909	44818812797	7469802.133	0.593027043	0.73867643	0.83079562	11	k-means++	300	10	auto
a1	0.474873348	6637.378168	0.683720764	51632663164	8605443.861	0.547218103	0.703624045	0.805933186	10	k-means++	300	10	auto
a1	0.468732529	6253.318334	0.728970551	61108527967	10184754.66	0.507251217	0.670592145	0.782126637	9	k-means++	300	10	auto
a1	0.438833008	6019.754657	0.795147965	71812076028	11968679.34	0.467761518	0.635301167	0.755507899	8	k-means++	300	10	auto
a1	0.41824966	5758.370427	0.81181725	86352599699	14392099.95	0.41126994	0.588694012	0.719418303	7	k-means++	300	10	auto
a1	0.484028753	5708.695678	0.730780802	2.25211E+11	37535120.04	0.172465538	0.34509329	0.509507271	3	k-means++	300	10	auto
a1	0.428732105	5559.582816	0.772664637	1.05321E+11	17553482.75	0.356680838	0.545169122	0.69036412	6	k-means++	300	10	auto
a1	0.43749354	5558.028727	0.808547871	1.28596E+11	21432736.48	0.304748992	0.49242829	0.646576173	5	k-means++	300	10	auto
a1	0.463404836	5541.503232	0.715458409	1.65398E+11	27566326.72	0.238233717	0.424662139	0.58676563	4	k-means++	300	10	auto
a1	0.462506389	4942.995604	0.72366061	4.08936E+11	68156053.96	0.091124958	0.209644128	0.341875185	2	k-means++	300	10	auto
a2	0.60333897	18212.61418	0.52414534	20286817824	1932077.888	0.99724576	0.997925204	0.997995136	35	k-means++	300	10	auto
a2	0.588168591	17892.49501	0.558297416	20057840757	1910270.548	0.990473719	0.992699202	0.995624771	36	k-means++	300	10	auto
a2	0.594655835	17687.54288	0.583317838	19725700727	1878638.164	0.976952162	0.98282674	0.989255804	37	k-means++	300	10	auto
a2	0.589674172	17436.06164	0.609954069	19467616287	1854058.694	0.968792729	0.976378239	0.985647454	38	k-means++	300	10	auto
a2	0.573951936	17181.11079	0.648952888	19235226051	1831926.291	0.960553638	0.970529415	0.982513933	39	k-means++	300	10	auto
a2	0.561364922	16974.52804	0.660736669	18968288052	1806503.624	0.950899699	0.964216979	0.979187187	40	k-means++	300	10	auto
a2	0.601123114	16846.21471	0.530628286	22579963510	2150472.715	0.96405689	0.983406076	0.988965295	34	k-means++	300	10	auto
a2	0.554351387	16657.53238	0.700170783	18843202417	1794590.706	0.942090323	0.957484177	0.975359662	41	k-means++	300	10	auto
a2	0.553110976	16508.9985	0.722526844	18548655722	1766538.64	0.931614076	0.950466968	0.97104627	42	k-means++	300	10	auto
a2	0.541450769	16304.27518	0.756594038	18331746182	1745880.589	0.922613995	0.943871421	0.967187096	43	k-means++	300	10	auto
a2	0.523362964	16166.62668	0.774486085	18056361370	1719653.464	0.914984781	0.940399682	0.96652647	44	k-means++	300	10	auto
a2	0.49804583	15903.30717	0.796681616	17935567912	1708149.325	0.89923275	0.929856881	0.958795458	45	k-means++	300	10	auto
a2	0.506856451	15755.63219	0.816970749	17700102166	1685724.016	0.899447394	0.929832389	0.960676578	46	k-means++	300	10	auto
